"","parameter","estimates","dataset","p_values","X2.5..","X97.5.."
"1","(Intercept)",0.232681294132626,"Adler_2018_Expt3",0.000123998819577289,0.113859732801447,0.351502855463805
"2","absevi",1.93346278394617,"Adler_2018_Expt3",8.04844879237973e-07,1.16545056473549,2.70147500315685
"3","absevi:criterion_fluctuations",-2.60446805741014,"Adler_2018_Expt3",1.76382567509112e-06,-3.67266717891724,-1.53626893590304
"4","criterion_fluctuations",0.49982267737005,"Adler_2018_Expt3",5.36409224733759e-06,0.284519330247683,0.715126024492416
"5","signevi1",0.00835197063668925,"Adler_2018_Expt3",0.449776162918899,-0.0133069552019516,0.0300108964753301
"6","signevi1:absevi",-0.6284988497403,"Adler_2018_Expt3",0.00670494351874668,-1.08285703631038,-0.174140663170226
"7","signevi1:absevi:criterion_fluctuations",0.13801192993579,"Adler_2018_Expt3",0.416116869541767,-0.19463222707498,0.470656086946561
"8","signevi1:criterion_fluctuations",-0.0382188626626117,"Adler_2018_Expt3",0.00115648370174221,-0.0612716028136949,-0.0151661225115285
"9","(Intercept)",0.182551852468722,"Adler_2018_Expt1_taskA",0.000105517726846256,0.0902781424456016,0.274825562491843
"10","absevi",1.1232860744936,"Adler_2018_Expt1_taskA",2.22381650191338e-16,0.8551041633678,1.3914679856194
"11","absevi:criterion_fluctuations",-0.0211184811648768,"Adler_2018_Expt1_taskA",0.825152390883082,-0.208475447518946,0.166238485189192
"12","criterion_fluctuations",0.0194457110703119,"Adler_2018_Expt1_taskA",0.535578946278133,-0.0420750943525575,0.0809665164931812
"13","signevi1",-0.00899823517873278,"Adler_2018_Expt1_taskA",0.193686302057746,-0.0225671541369252,0.0045706837794596
"14","signevi1:absevi",0.00503329468419102,"Adler_2018_Expt1_taskA",0.844643516356373,-0.0453096714599347,0.0553762608283168
"15","signevi1:absevi:criterion_fluctuations",-0.0227849903905237,"Adler_2018_Expt1_taskA",0.625348219512048,-0.114243443698068,0.0686734629170206
"16","signevi1:criterion_fluctuations",-0.027769080741164,"Adler_2018_Expt1_taskA",0.00161810272319887,-0.0450329232067609,-0.0105052382755671
"17","(Intercept)",0.239683694436542,"Adler_2018_Expt1_taskB",1.18138967365438e-05,0.132454289958677,0.346913098914407
"18","absevi",1.99713466632082,"Adler_2018_Expt1_taskB",3.2797858513183e-06,1.15579448236506,2.83847485027657
"19","absevi:criterion_fluctuations",-0.499379188560624,"Adler_2018_Expt1_taskB",0.0103999393720591,-0.88137509288998,-0.117383284231267
"20","criterion_fluctuations",0.08280485487559,"Adler_2018_Expt1_taskB",0.300332496115545,-0.0738923557089429,0.239502065460123
"21","signevi1",0.0200322263166055,"Adler_2018_Expt1_taskB",0.0447543162821672,0.000469048926507995,0.039595403706703
"22","signevi1:absevi",-0.799452935832291,"Adler_2018_Expt1_taskB",0.011742454029811,-1.42128981591559,-0.177616055748994
"23","signevi1:absevi:criterion_fluctuations",0.30240832107002,"Adler_2018_Expt1_taskB",0.112147039608032,-0.0706895802356647,0.675506222375704
"24","signevi1:criterion_fluctuations",-0.120787496144192,"Adler_2018_Expt1_taskB",0.021169146511188,-0.223496329456785,-0.0180786628315992
"25","(Intercept)",0.396118746192112,"Denison_2018",5.51670146202979e-05,0.20359242027378,0.588645072110444
"26","absevi",0.723647086219197,"Denison_2018",0.00659699948219873,0.20153923291673,1.24575493952166
"27","absevi:criterion_fluctuations",-1.13788363007247,"Denison_2018",0.000154729289671701,-1.72736352315429,-0.548403736990652
"28","criterion_fluctuations",0.498682839883611,"Denison_2018",0.000195913575613796,0.236239099446685,0.761126580320538
"29","signevi1",-0.0234429654130329,"Denison_2018",0.527444319382099,-0.0961546103510426,0.0492686795249769
"30","signevi1:absevi",0.00985139810680288,"Denison_2018",0.969594846282441,-0.496711837711356,0.516414633924962
"31","signevi1:absevi:criterion_fluctuations",0.881298555861252,"Denison_2018",0.00369855483395622,0.286245555714314,1.47635155600819
"32","signevi1:criterion_fluctuations",-0.258316923647005,"Denison_2018",0.000461131699069748,-0.40287368883547,-0.113760158458541
"33","(Intercept)",0.536548369966148,"Recht_unpub",2.47792825028006e-43,0.460355530132311,0.612741209799985
"34","absevi",0.0431935295330903,"Recht_unpub",3.48715054665199e-05,0.0227402049526724,0.0636468541135083
"35","absevi:criterion_fluctuations",0.0268459788380891,"Recht_unpub",0.316882427205528,-0.0257246497658673,0.0794166074420456
"36","criterion_fluctuations",0.392982843654484,"Recht_unpub",0.000108387907425184,0.194008062757931,0.591957624551037
"37","signevi1",0.00554920386343898,"Recht_unpub",0.858288679496384,-0.0553640150686685,0.0664624227955464
"38","signevi1:absevi",-0.00410331818477412,"Recht_unpub",0.78277015575063,-0.0332728472165642,0.0250662108470159
"39","signevi1:absevi:criterion_fluctuations",-0.0697385976718771,"Recht_unpub",0.0640635459911836,-0.143553136650409,0.00407594130665458
"40","signevi1:criterion_fluctuations",-0.754116144121793,"Recht_unpub",0.000157582470171462,-1.14525575132155,-0.362976536922031
"41","(Intercept)",0.206502982976448,"VanBoxtel_2019_Expt1",8.28151157433087e-10,0.140578616883192,0.272427349069705
"42","absevi",0.776699431853734,"VanBoxtel_2019_Expt1",2.30060416994899e-106,0.707205448978398,0.84619341472907
"43","absevi:criterion_fluctuations",-0.00376344123232513,"VanBoxtel_2019_Expt1",0.793134587883227,-0.0318908914727429,0.0243640090080926
"44","criterion_fluctuations",0.0287283270112577,"VanBoxtel_2019_Expt1",0.0122414949148532,0.0062516324376236,0.0512050215848918
"45","signevi1",-0.00875210642322642,"VanBoxtel_2019_Expt1",0.111315363061074,-0.019525026001783,0.0020208131553302
"46","signevi1:absevi",0.00171614213529661,"VanBoxtel_2019_Expt1",0.799427464957773,-0.0115216924412396,0.0149539767118328
"47","signevi1:absevi:criterion_fluctuations",0.0247233210073554,"VanBoxtel_2019_Expt1",0.00196540765852251,0.00906891238314562,0.0403777296315652
"48","signevi1:criterion_fluctuations",-0.0850390500107908,"VanBoxtel_2019_Expt1",8.39577346145484e-24,-0.101608853625673,-0.0684692463959082
"49","(Intercept)",0.23520893278169,"VanBoxtel_2019_Expt2",2.684832712512e-08,0.152307562927001,0.318110302636379
"50","absevi",0.403575225562857,"VanBoxtel_2019_Expt2",1.54887029636523e-11,0.286273713699359,0.520876737426355
"51","absevi:criterion_fluctuations",0.0488037705995139,"VanBoxtel_2019_Expt2",0.00938263768468747,0.011982586839707,0.0856249543593207
"52","criterion_fluctuations",0.0164189791230083,"VanBoxtel_2019_Expt2",0.232551017583377,-0.0105371692220273,0.043375127468044
"53","signevi1",-0.00528319714028923,"VanBoxtel_2019_Expt2",0.414855981105527,-0.0179826767571198,0.00741628247654128
"54","signevi1:absevi",-0.00242408399296641,"VanBoxtel_2019_Expt2",0.88221671331181,-0.0344916193677925,0.0296434513818597
"55","signevi1:absevi:criterion_fluctuations",-0.0577955803372118,"VanBoxtel_2019_Expt2",0.0027790371017404,-0.0956660336164891,-0.0199251270579346
"56","signevi1:criterion_fluctuations",-0.0431793087159895,"VanBoxtel_2019_Expt2",4.35857147441952e-06,-0.0616031140972749,-0.0247555033347042
"57","(Intercept)",0.366897492974202,"Law_unpub",4.41383341151608e-22,0.292463863599066,0.441331122349339
"58","absevi",0.181458158369005,"Law_unpub",4.2488285104757e-13,0.13238511119657,0.230531205541439
"59","absevi:criterion_fluctuations",-0.0121533354470783,"Law_unpub",0.114428613503949,-0.0272427507340519,0.00293607983989527
"60","criterion_fluctuations",0.00801666896636898,"Law_unpub",0.485478823297021,-0.0145094703702962,0.0305428083030342
"61","signevi1",-0.0379706117118898,"Law_unpub",0.126307149824192,-0.086649104876719,0.0107078814529394
"62","signevi1:absevi",-0.0159969674379733,"Law_unpub",0.487438726543687,-0.0611496289346611,0.0291556940587145
"63","signevi1:absevi:criterion_fluctuations",-0.00227904277713032,"Law_unpub",0.823234632099894,-0.0222750575431118,0.0177169719888512
"64","signevi1:criterion_fluctuations",-0.0139482710965768,"Law_unpub",0.0290014796886429,-0.0264687792291647,-0.00142776296398887
"65","(Intercept)",0.421310177925783,"Yeon_unpub_Exp2",1.307343529612e-43,0.361680591855003,0.480939763996563
"66","absevi",1.42850115341683,"Yeon_unpub_Exp2",1.86613208701491e-15,1.07632070126314,1.78068160557052
"67","absevi:criterion_fluctuations",0.422482563703211,"Yeon_unpub_Exp2",2.33385907268028e-05,0.226739531300196,0.618225596106225
"68","criterion_fluctuations",-0.0102850722009528,"Yeon_unpub_Exp2",0.638164856214281,-0.0531509466846482,0.0325808022827426
"69","signevi1",0.0215289393973512,"Yeon_unpub_Exp2",0.0093333148327983,0.00529721694369317,0.0377606618510092
"70","signevi1:absevi",0.0117580065256916,"Yeon_unpub_Exp2",0.816403472606232,-0.0875009380673124,0.111016951118696
"71","signevi1:absevi:criterion_fluctuations",-0.172874266274913,"Yeon_unpub_Exp2",1.39277787040321e-05,-0.250855301209652,-0.094893231340174
"72","signevi1:criterion_fluctuations",-0.067137036651201,"Yeon_unpub_Exp2",4.87282831378265e-08,-0.091255225488226,-0.0430188478141759
"73","(Intercept)",0.626382350261835,"Siedlecka_2021",1.01531608267073e-215,0.587219986488202,0.665544714035467
"74","absevi",0.074696950997353,"Siedlecka_2021",5.58533256391388e-19,0.0582471138380711,0.0911467881566349
"75","absevi:criterion_fluctuations",0.0564502896040045,"Siedlecka_2021",1.21956320064429e-11,0.0401265103822075,0.0727740688258015
"76","criterion_fluctuations",0.00883909632135698,"Siedlecka_2021",0.460113046497493,-0.0146145815305084,0.0322927741732223
"77","signevi1",0.0111942923929981,"Siedlecka_2021",0.0693455000863575,-0.000886352359955407,0.0232749371459515
"78","signevi1:absevi",0.0318828996740718,"Siedlecka_2021",8.6280945191211e-10,0.0216937332315528,0.0420720661165907
"79","signevi1:absevi:criterion_fluctuations",-0.0793581534317779,"Siedlecka_2021",2.49722190342706e-14,-0.0997646826080559,-0.0589516242554998
"80","signevi1:criterion_fluctuations",-0.075594727323303,"Siedlecka_2021",2.92703350350968e-07,-0.104487174604345,-0.046702280042261
"81","(Intercept)",0.401384443685705,"Shekhar_2021",2.43229225130213e-25,0.32575357637371,0.4770153109977
"82","absevi",0.17369029122699,"Shekhar_2021",1.0122587757743e-41,0.148533136883795,0.198847445570185
"83","absevi:criterion_fluctuations",0.0304381351732275,"Shekhar_2021",0.00998309096711881,0.00728283538043191,0.053593434966023
"84","criterion_fluctuations",0.0850409400289713,"Shekhar_2021",1.45341702985149e-09,0.0574884854813594,0.112593394576583
"85","signevi1",-0.00988606627572277,"Shekhar_2021",0.227719049040772,-0.0259492770147881,0.00617714446334258
"86","signevi1:absevi",0.00176666261945456,"Shekhar_2021",0.76885001670893,-0.0100157026713778,0.0135490279102869
"87","signevi1:absevi:criterion_fluctuations",-0.0431655218797431,"Shekhar_2021",6.88785469660925e-05,-0.0644218472622085,-0.0219091964972777
"88","signevi1:criterion_fluctuations",-0.134242206574364,"Shekhar_2021",1.12824901050249e-13,-0.169678133927292,-0.0988062792214366
"89","(Intercept)",0.679966602128825,"CalderTravis_unpub",0,0.652872188925518,0.707061015332133
"90","absevi",0.0930114854799182,"CalderTravis_unpub",0.0104017100578615,0.0218614912734763,0.16416147968636
"91","absevi:criterion_fluctuations",0.172087128662092,"CalderTravis_unpub",9.47325037425853e-05,0.0856859140321637,0.258488343292021
"92","criterion_fluctuations",0.00941553146298186,"CalderTravis_unpub",0.0484402099019242,6.45140791339059e-05,0.0187665488468298
"93","signevi1",0.00346407443679525,"CalderTravis_unpub",0.280654916666169,-0.00282916891288139,0.00975731778647189
"94","signevi1:absevi",0.0159736284941185,"CalderTravis_unpub",0.655446923015549,-0.0541903502292517,0.0861376072174886
"95","signevi1:absevi:criterion_fluctuations",-0.271928786342539,"CalderTravis_unpub",3.03448764970186e-07,-0.375998343598643,-0.167859229086436
"96","signevi1:criterion_fluctuations",-0.0359499973787574,"CalderTravis_unpub",1.47922204642462e-08,-0.048390189000593,-0.0235098057569218
"97","(Intercept)",-0.0189834128483146,"Filevich_unpub",0.759272807267317,-0.140401334711764,0.102434509015135
"98","absevi",1.3101848622171,"Filevich_unpub",2.42890304128056e-07,0.812825911714086,1.80754381272012
"99","absevi:criterion_fluctuations",-0.00364556674044098,"Filevich_unpub",0.992412518838012,-0.755007233561796,0.747716100080914
"100","criterion_fluctuations",0.294104256709823,"Filevich_unpub",0.000817867191399888,0.121863580483611,0.466344932936034
"101","signevi1",0.417014825383149,"Filevich_unpub",8.75956772201112e-05,0.208649860273867,0.625379790492431
"102","signevi1:absevi",0.165022154329122,"Filevich_unpub",0.0451036948884864,0.00360092313143878,0.326443385526805
"103","signevi1:absevi:criterion_fluctuations",-0.506561895513699,"Filevich_unpub",2.57171020186576e-06,-0.717699065474205,-0.295424725553194
"104","signevi1:criterion_fluctuations",-0.719933069022486,"Filevich_unpub",2.20797978195762e-09,-0.955825697107182,-0.48404044093779
"105","(Intercept)",0.143323256730256,"Maniscalco_2017_expt2",1.2915932255479e-06,0.0852968329126779,0.201349680547834
"106","absevi",0.518873817604595,"Maniscalco_2017_expt2",1.89987626261665e-36,0.438214889171102,0.599532746038088
"107","absevi:criterion_fluctuations",0.107136162897327,"Maniscalco_2017_expt2",0.000110120169609581,0.0528368265871867,0.161435499207467
"108","criterion_fluctuations",-0.045861050310188,"Maniscalco_2017_expt2",0.0058292820242446,-0.0784611283594533,-0.0132609722609228
"109","signevi1",0.0266808931591548,"Maniscalco_2017_expt2",0.0116525338373797,0.00595000057985368,0.0474117857384559
"110","signevi1:absevi",0.0269742693988491,"Maniscalco_2017_expt2",0.17694716007253,-0.0121814299907382,0.0661299687884364
"111","signevi1:absevi:criterion_fluctuations",-0.136370141925481,"Maniscalco_2017_expt2",6.29544566840815e-09,-0.182383865177621,-0.0903564186733397
"112","signevi1:criterion_fluctuations",-0.0143086991914091,"Maniscalco_2017_expt2",0.196961303267155,-0.0360443118907386,0.00742691350792043
"113","(Intercept)",0.434881241768299,"Wang_2018",2.64019055614287e-25,0.352877115182174,0.516885368354424
"114","absevi",0.429929401230893,"Wang_2018",1.71210829886084e-39,0.365847609401447,0.494011193060338
"115","absevi:criterion_fluctuations",-0.115842112035076,"Wang_2018",1.55858908863762e-05,-0.168396210034144,-0.063288014036008
"116","criterion_fluctuations",0.158192557757697,"Wang_2018",4.22899463580054e-10,0.108547208223771,0.207837907291624
"117","signevi1",-0.0121458763864329,"Wang_2018",0.610561855149234,-0.058890049510297,0.0345982967374313
"118","signevi1:absevi",-0.0948855313311903,"Wang_2018",5.44766342656256e-06,-0.135787623959507,-0.0539834387028736
"119","signevi1:absevi:criterion_fluctuations",0.125990084710787,"Wang_2018",2.56283842530801e-05,0.0673242075958109,0.184655961825763
"120","signevi1:criterion_fluctuations",-0.221875823064407,"Wang_2018",9.32712576575661e-22,-0.267249809676028,-0.176501836452785
